"","step","mean_vegetation_volume","max_bird","dispersal_distance","habitat_radius","count_turtles","mean_habitat_of_patches"
"135447",1000,3.4,11,1,1,1935.5,47.6909297052154
"136448",1000,3.6,11,1,1,2002.7,48.8337868480726
"137449",1000,3.8,11,1,1,2013.5,49.143537414966
"138450",1000,4,11,1,1,2011.1,49.2519274376417
"139451",1000,4.2,11,1,1,2078.7,50.4185941043084
"140452",1000,4.4,11,1,1,2057.5,50.3453514739229
"141453",1000,4.6,11,1,1,2105.5,51.1888888888889
"142454",1000,4.8,11,1,1,2101.2,51.1678004535147
"143455",1000,5,11,1,1,2130.2,51.8324263038549
"144456",1000,2,12,1,1,1808.3,40.7587301587302
"145457",1000,2.2,12,1,1,1914.3,42.6786848072562
"146458",1000,2.4,12,1,1,1968.9,44.1501133786848
"147459",1000,2.6,12,1,1,2040.7,45.1705215419501
"148460",1000,2.8,12,1,1,2005.4,45.3365079365079
"149461",1000,3,12,1,1,2102.2,46.5820861678005
"150462",1000,3.2,12,1,1,2122.6,47.0873015873016
"151463",1000,3.4,12,1,1,2150,47.4789115646259
"152464",1000,3.6,12,1,1,2224.1,48.9274376417234
"153465",1000,3.8,12,1,1,2272.4,50.1560090702948
"154466",1000,4,12,1,1,2269.4,50.0816326530612
"155467",1000,4.2,12,1,1,2273.5,50.5548752834467
"156468",1000,4.4,12,1,1,2282,50.4968253968254
"157469",1000,4.6,12,1,1,2314.8,50.9619047619048
"158470",1000,4.8,12,1,1,2325.4,51.5013605442177
"159471",1000,5,12,1,1,2382.2,52.2702947845805
"160472",1000,2,13,1,1,2023.4,41.907029478458
"161473",1000,2.2,13,1,1,2033.5,42.2746031746032
"162474",1000,2.4,13,1,1,2163,44.4721088435374
"163475",1000,2.6,13,1,1,2167.6,44.7959183673469
"164476",1000,2.8,13,1,1,2213,45.3972789115646
"165477",1000,3,13,1,1,2270.1,46.834693877551
"166478",1000,3.2,13,1,1,2313.1,47.3507936507936
"167479",1000,3.4,13,1,1,2298.6,47.4326530612245
"168480",1000,3.6,13,1,1,2405.2,49.2519274376417
"169481",1000,3.8,13,1,1,2335.9,47.9573696145125
"170482",1000,4,13,1,1,2410.7,49.109977324263
"171483",1000,4.2,13,1,1,2419.4,49.7986394557823
"172484",1000,4.4,13,1,1,2499.7,50.8741496598639
"173485",1000,4.6,13,1,1,2535.9,52.0462585034014
"174486",1000,4.8,13,1,1,2555.1,52.140589569161
"175487",1000,5,13,1,1,2547.3,51.9659863945578
"176488",1000,2,14,1,1,2216.3,42.3249433106576
"177489",1000,2.2,14,1,1,2257.6,42.8868480725624
"178490",1000,2.4,14,1,1,2325.1,44.1557823129252
"179491",1000,2.6,14,1,1,2363.7,44.6959183673469
"180492",1000,2.8,14,1,1,2460.6,46.3959183673469
"181493",1000,3,14,1,1,2434.9,46.3764172335601
"182494",1000,3.2,14,1,1,2501.8,47.4145124716553
"183495",1000,3.4,14,1,1,2570.7,48.4521541950113
"184496",1000,3.6,14,1,1,2570.4,48.3800453514739
"185497",1000,3.8,14,1,1,2634.5,49.7823129251701
"186498",1000,4,14,1,1,2633.7,49.747619047619
"187499",1000,4.2,14,1,1,2667.7,50.4269841269841
"188500",1000,4.4,14,1,1,2688.2,50.3641723356009
"189501",1000,4.6,14,1,1,2687.6,50.453514739229
"190502",1000,4.8,14,1,1,2726,51.3226757369615
"191503",1000,5,14,1,1,2770.6,51.930612244898
"192504",1000,2,15,1,1,2411.3,42.3662131519274
"193505",1000,2.2,15,1,1,2454.7,42.9748299319728
"194506",1000,2.4,15,1,1,2516.7,44.2258503401361
"195507",1000,2.6,15,1,1,2552.8,44.8600907029478
"196508",1000,2.8,15,1,1,2631.1,46.18820861678
"197509",1000,3,15,1,1,2673.9,47.0226757369615
"198510",1000,3.2,15,1,1,2730.3,47.769387755102
"199511",1000,3.4,15,1,1,2721.9,47.637641723356
"200512",1000,3.6,15,1,1,2809.8,49.1641723356009
"201513",1000,3.8,15,1,1,2780.4,48.7925170068027
"202514",1000,4,15,1,1,2849.2,49.6680272108844
"203515",1000,4.2,15,1,1,2883,50.3671201814059
"204516",1000,4.4,15,1,1,2923.2,50.8360544217687
"205517",1000,4.6,15,1,1,2938.3,51.171201814059
"206518",1000,4.8,15,1,1,2952.6,51.6662131519274
"207519",1000,5,15,1,1,2981.8,51.918820861678
"210151",1000,4.4,2,2,1,25,15.4251700680272
"211152",1000,4.6,2,2,1,14,15.0170068027211
"212153",1000,4.8,2,2,1,11,14.2953514739229
"213154",1000,5,2,2,1,18.5,15.4648526077097
"214155",1000,2,3,2,1,6,6.45124716553288
"215156",1000,2.2,3,2,1,25,8.01814058956916
"216157",1000,2.4,3,2,1,25,10.4421768707483
"217158",1000,2.6,3,2,1,40,12.5095562034338
"218159",1000,2.8,3,2,1,119.875,20.3375850340136
"219160",1000,3,3,2,1,166.555555555556,24.620811287478
"220161",1000,3.2,3,2,1,198.1,27.6784580498866
"221162",1000,3.4,3,2,1,272.4,34.7065759637188
"222163",1000,3.6,3,2,1,235.8,31.7666666666667
"223164",1000,3.8,3,2,1,341.5,40.7990929705215
"224165",1000,4,3,2,1,370,44.1104308390023
"225166",1000,4.2,3,2,1,396.3,45.5800453514739
"226167",1000,4.4,3,2,1,401.3,46.7648526077097
"227168",1000,4.6,3,2,1,406.3,46.7598639455782
"228169",1000,4.8,3,2,1,439.2,49.3716553287982
"229170",1000,5,3,2,1,431.4,48.6303854875283
"230171",1000,2,4,2,1,333,29.1307634164777
